PlantName,LineName,LastUpdatedBy,LastUpdatedDate
Assembly Plant IN,Assembly Plant IN Line 39,Matthew Moon,2020-06-13
Assembly Plant IN,L40,Kevin Walters,2023-03-28
Assembly Plant IN,Assembly Plant IN Line 41,Brandon Bailey MD,2025-01-21
Assembly Plant IN,,Shannon Rivera,2023-08-11
Assembly Plant IN,Assembly Plant IN Line 43,,
Assembly Plant IN,,Donna Landry,2021-02-19
Assembly Plant IN,Assembly Plant IN Line 45,Krista Gibson,2025-07-08
Assembly Plant IN,Assembly Plant IN Line 46,Frank Cordova,2021-05-15
Assembly Plant IN,L47,Jose Travis,2025-03-21
Assembly Plant IN,Assembly Plant IN Line 48,Kimberly Gutierrez,2024-07-12
Assembly Plant IN,Assembly Plant IN Line 49,Isaiah Avila,2023-10-05
Assembly Plant IN,L50,Olivia Harris,2021-06-04
Assembly Plant IN,Assembly Plant IN Line 51,,
Assembly Plant IN,Assembly Plant IN Line 52,Tanya Kim,2021-08-31
Assembly Plant IN,Assembly Plant IN Line 53,Barbara Dudley,2023-04-08
Assembly Plant IN,Assembly Plant IN Line 54,,
Assembly Plant IN,Assembly Plant IN Line 55,Cynthia Moore,2024-02-14
Assembly Plant IN,Assembly Plant IN Line 56,Kristen Davis,2019-01-02
Assembly Plant IN,L57,Susan Murray MD,2022-10-28
Assembly Plant IN,Assembly Plant IN Line 58,Kathleen Moran,2025-02-19
Assembly Plant IN,Assembly Plant IN Line 59,Denise Davenport,2023-01-16
Assembly Plant IN,L60,Mrs. Kristen Reyes,2023-12-16
Assembly Plant IN,,Katie Suarez,2025-10-10
Assembly Plant IN,Assembly Plant IN Line 62,,
Assembly Plant IN,Assembly Plant IN Line 63,Desiree Tyler,2019-03-22
Assembly Plant IN,Assembly Plant IN Line 64,Timothy Romero,2025-07-10
Assembly Plant IN,Assembly Plant IN Line 65,Diane Evans,2022-09-14
Assembly Plant IN,Assembly Plant IN Line 66,Yvonne Burns,2020-05-08
Assembly Plant IN,,Joshua Reed,2024-03-02
Assembly Plant IN,,Kimberly Gibson,2025-12-07
Assembly Plant IN,Assembly Plant IN Line 69,Colin Terry,2025-12-08
Assembly Plant IN,,Cynthia Rowe,2022-11-10
Assembly Plant IN,Assembly Plant IN Line 71,Patrick Thornton,2025-02-08
Assembly Plant IN,L72,Jasmin Alvarado,2023-09-13
Assembly Plant IN,Assembly Plant IN Line 73,Veronica Simpson,2019-10-18
Assembly Plant IN,L74,Jonathan Lawrence,2023-11-22
Assembly Plant IN,Assembly Plant IN Line 75,Shelly Alexander,2025-02-20
Assembly Plant IN,Assembly Plant IN Line 76,Joyce Bowen,2024-11-28
Assembly Plant IN,Assembly Plant IN Line 77,,
Assembly Plant IN,,Matthew Moore,2020-11-29
Assembly Plant IN,Assembly Plant IN Line 79,,
Assembly Plant IN,Assembly Plant IN Line 80,Wayne Morgan,2021-09-26
Assembly Plant IN,Assembly Plant IN Line 81,Marie Christian,2019-05-06
Assembly Plant IN,,Shannon James,2022-06-21
Assembly Plant IN,L83,,
Assembly Plant IN,Assembly Plant IN Line 84,Nathan Malone,2022-09-18
Assembly Plant IN,,Amanda Jones,2023-11-08
Assembly Plant IN,Assembly Plant IN Line 86,Tammie Bright,2020-04-03
Assembly Plant IN,Assembly Plant IN Line 87,Jessica Garcia,2020-07-21
Assembly Plant IN,,,
Assembly Plant IN,Assembly Plant IN Line 89,Shelia Wallace,2019-08-25
Assembly Plant IN,Assembly Plant IN Line 90,Stephanie Williams,2024-05-27
Assembly Plant IN,Assembly Plant IN Line 91,,
Assembly Plant IN,L92,Elaine Brooks,2025-12-06
Assembly Plant IN,Assembly Plant IN Line 93,Joseph Knight,2025-02-17
Assembly Plant IN,Assembly Plant IN Line 94,Carolyn Miller,2019-05-21
Assembly Plant IN,Assembly Plant IN Line 95,Lisa Allen,2022-03-30
Assembly Plant IN,Assembly Plant IN Line 96,Briana Murray,2023-01-28
Assembly Plant IN,Assembly Plant IN Line 97,,
Assembly Plant IN,Assembly Plant IN Line 98,David Smith,2025-10-29
Assembly Plant IN,Assembly Plant IN Line 99,Stephanie Byrd,2020-06-28
Assembly Plant IN,,,
Assembly Plant IN,Assembly Plant IN Line 101,Jeremy Reed,2019-07-26
Assembly Plant IN,Assembly Plant IN Line 102,,
Assembly Plant IN,Assembly Plant IN Line 103,Margaret Coleman,2022-02-02
Assembly Plant IN,Assembly Plant IN Line 104,,
Assembly Plant IN,L105,Ryan Gonzalez,2025-03-31
Assembly Plant IN,Assembly Plant IN Line 106,John Young,2022-06-21
Assembly Plant IN,L107,Laura Haney,2020-04-04
